date,Date_obj,Month,Day,Year,emp_status,job_title,overall_rating,career_growth_rating,wlb_rating,compensation_rating,company_culture_rating,management_rating,title
"Mar 23, 2023",2023-03-23,3,23,2023,Current Employee ,Software Engineer,4,3,5,3,5,4,"Fun to work at, want more money"
"Mar 21, 2023",2023-03-21,3,21,2023,Current Employee ,Software Developer,4,3,3,4,3,3,Good pay.
"Mar 17, 2023",2023-03-17,3,17,2023,Current Employee ,Software Engineer II,3,4,2,5,4,2,Great company but experience depends on what team you join
"Mar 15, 2023",2023-03-15,3,15,2023,Current Employee ,Product Manager,5,4,4,4,5,5,Fantastic company
"Mar 14, 2023",2023-03-14,3,14,2023,Current Employee ,Staff Engineer,4,3,3,3,4,4,"Steady job, 55 hr grind"
"Mar 9, 2023",2023-03-09,3,9,2023,Current Employee ,Software Engineer,2,2,5,1,2,1,Great work life balance
"Mar 5, 2023",2023-03-05,3,5,2023,Current Employee ,Senior Software Developer,5,4,5,4,5,4,Great work life balance with good compensation
"Mar 2, 2023",2023-03-02,3,2,2023,Current Employee ,Software Engineer,4,4,5,5,5,5,Great work life balance
"Feb 28, 2023",2023-02-28,2,28,2023,Current Employee ,Operation Analyst,4,3,5,5,5,3,Good wlb decent pay lack career growth in some teams
"Feb 26, 2023",2023-02-26,2,26,2023,Current Employee ,Engineering Group Manager,5,3,5,5,4,5,A really good company!
"Feb 24, 2023",2023-02-24,2,24,2023,Current Employee ,Senior Product Designer,4,4,4,3,4,4,Good old firm
"Feb 24, 2023",2023-02-24,2,24,2023,Current Employee ,Software Developer II,3,3,3,3,3,2,WLB is manageable but sometimes is not great
"Feb 24, 2023",2023-02-24,2,24,2023,Current Employee ,Data Engineer II,3,1,3,4,2,1,Great Employee Benefits and decent Compensation but Poor Management and Learning Opportunities
"Feb 17, 2023",2023-02-17,2,17,2023,Current Employee ,Senior Software Engineer,3,2,5,4,2,3,It's a place to coast I guess
"Feb 16, 2023",2023-02-16,2,16,2023,Current Employee ,Senior Software Developer,5,4,5,4,5,4,Good conpany
"Feb 15, 2023",2023-02-15,2,15,2023,Current Employee ,Strategy Manager,5,4,5,4,4,4,Overall good experience
"Feb 13, 2023",2023-02-13,2,13,2023,Current Employee ,Finance,5,4,5,4,5,5,Great employee focused culture
"Feb 11, 2023",2023-02-11,2,11,2023,Current Employee ,Software Engineer III,4,2,4,3,3,1,Great company mission
"Feb 10, 2023",2023-02-10,2,10,2023,Current Employee ,Product Manager,3,1,3,4,3,1,B+ company to work at
"Feb 8, 2023",2023-02-08,2,8,2023,Current Employee ,Software Developer II,5,4,5,5,5,4,Great work life balance and work culture
"Feb 7, 2023",2023-02-07,2,7,2023,Current Employee ,Senior Software Engineer,5,3,5,5,3,3,Good company values and mission
"Feb 5, 2023",2023-02-05,2,5,2023,Current Employee ,Project Manager,4,4,3,4,5,4,Good as far as corporate goes
"Feb 3, 2023",2023-02-03,2,3,2023,Current Employee ,Software Engineer II,4,4,5,3,4,2,Good WLB
"Jan 28, 2023",2023-01-28,1,28,2023,Current Employee ,Senior Product Manager,5,4,5,3,5,4,Good culture and work
"Jan 27, 2023",2023-01-27,1,27,2023,Former Employee ,Data Scientist,5,5,5,5,4,4,Engaging work and great work life balance
"Jan 27, 2023",2023-01-27,1,27,2023,Current Employee ,"Manager, Risk / Compliance",3,3,4,5,4,3,Great company but toxic managers ruin experience!
"Jan 26, 2023",2023-01-26,1,26,2023,Current Employee ,Software Engineer,3,3,4,4,3,3,Good
"Jan 25, 2023",2023-01-25,1,25,2023,Current Employee ,Software Engineer II,4,3,4,4,4,3,Good place to be at.
"Jan 20, 2023",2023-01-20,1,20,2023,Current Employee ,"Engineer, Senior Staff",3,2,4,4,3,3,Laid back
"Jan 20, 2023",2023-01-20,1,20,2023,Current Employee ,Designer,5,4,5,5,5,5,Good work life balance
"Jan 19, 2023",2023-01-19,1,19,2023,Current Employee ,Senior Software Engineer,5,5,5,4,5,5,Great teammates and wlb
"Jan 19, 2023",2023-01-19,1,19,2023,Current Employee ,Engineering Manager II,5,5,5,5,5,5,Awesome place to work
"Jan 18, 2023",2023-01-18,1,18,2023,Current Employee ,Staff Software Engineer,5,4,5,4,5,4,Great work life balance and culture
"Jan 16, 2023",2023-01-16,1,16,2023,Current Employee ,Software Engineering Manager III,4,5,3,5,4,3,"Good place to grow and learn, but culture has gone downhill"
"Jan 15, 2023",2023-01-15,1,15,2023,Current Employee ,Software Engineer II,4,4,4,4,5,2,"Great Benefits, Puts employees first, Love the company culture"
"Jan 14, 2023",2023-01-14,1,14,2023,Current Employee ,Engineer,3,2,3,2,2,3,Ok if you want to coast in career
"Jan 11, 2023",2023-01-11,1,11,2023,Current Employee ,Product Designer,3,2,4,4,3,4,Talented people with a flailing direction from constant leadership rotation
"Jan 8, 2023",2023-01-08,1,8,2023,Current Employee ,Retail Buyer,5,5,5,4,5,5,Great work life balance
"Jan 5, 2023",2023-01-05,1,5,2023,Current Employee ,Human Resources,3,2,3,4,3,3,Good compensation and benefits. Hybrid work
"Jan 1, 2023",2023-01-01,1,1,2023,Current Employee ,Senior Software Engineer,4,4,4,2,4,4,Overall stable place to work
"Dec 25, 2022",2022-12-25,12,25,2022,Current Employee ,Senior Front End Developer,5,5,5,5,5,5,Great work life balance
"Dec 21, 2022",2022-12-21,12,21,2022,Current Employee ,Software Engineer II,4,4,5,5,4,4,Good
"Dec 20, 2022",2022-12-20,12,20,2022,Current Employee ,Senior Product Manager,3,1,5,3,1,2,Great WLB
"Dec 17, 2022",2022-12-17,12,17,2022,Current Employee ,Product Manager,3,3,3,4,2,2,It's OK
"Dec 17, 2022",2022-12-17,12,17,2022,Former Employee ,Staff Engineer,2,1,3,2,1,1,Full of politics
"Dec 10, 2022",2022-12-10,12,10,2022,Current Employee ,Product Analyst,3,3,3,4,4,4,Great WLB for parents but a lot of processes and meetings
"Dec 2, 2022",2022-12-02,12,2,2022,Current Employee ,"Senior Manager, Brand Strategy",5,3,5,5,5,4,Incredible company that's overlooked
"Nov 25, 2022",2022-11-25,11,25,2022,Current Employee ,Software Engineer,4,4,5,4,5,5,Great wlb. No prestige (?)
"Nov 24, 2022",2022-11-24,11,24,2022,Former Employee ,Software Engineer II,5,5,5,5,5,5,Amazing Culture at the Company
"Nov 23, 2022",2022-11-23,11,23,2022,Current Employee ,Software Engineer,5,5,5,5,5,5,Great work life balance
"Nov 20, 2022",2022-11-20,11,20,2022,Current Employee ,Software Developer I,4,4,5,3,4,4,Good experience so far
"Nov 19, 2022",2022-11-19,11,19,2022,Current Employee ,Software Engineer II,4,4,5,4,5,5,Good company culture with good benefits and opportunities to learn
"Nov 18, 2022",2022-11-18,11,18,2022,Current Employee ,Senior Marketing Manager,5,4,5,5,5,5,Great W/L balance as I’ve been here 5 years and my team has been flexible since before the pandemic and WFH
"Nov 16, 2022",2022-11-16,11,16,2022,Current Employee ,Senior Manager Market Intelligence,5,5,5,5,5,4,Great wlb
"Nov 14, 2022",2022-11-14,11,14,2022,Current Employee ,Software Engineer II,5,4,5,5,4,4,Benefits are great
"Nov 14, 2022",2022-11-14,11,14,2022,Current Employee ,Software Engineer II,4,3,5,3,3,2,Good work life balance
"Nov 14, 2022",2022-11-14,11,14,2022,Current Employee ,Software Engineer,4,4,4,3,4,4,Na
"Nov 13, 2022",2022-11-13,11,13,2022,Current Employee ,Senior Data Analyst,4,4,4,4,4,4,Great company with genuine people
"Nov 9, 2022",2022-11-09,11,9,2022,Current Employee ,Software Engineer II,2,1,1,2,3,1,Cheap political scam company
"Nov 5, 2022",2022-11-05,11,5,2022,Current Employee ,Software Developer,4,3,5,3,3,3,...
"Nov 4, 2022",2022-11-04,11,4,2022,Current Employee ,Software Engineer,4,3,5,5,2,1,Best benefits!!
"Nov 2, 2022",2022-11-02,11,2,2022,Current Employee ,Staff Software Engineer,3,1,4,3,3,1,Good place
"Nov 2, 2022",2022-11-02,11,2,2022,Current Employee ,Senior Product Designer,5,5,5,5,5,5,Great company
"Oct 31, 2022",2022-10-31,10,31,2022,Current Employee ,Senior Software Engineer,5,4,4,5,5,4,Great company to work for!
"Oct 23, 2022",2022-10-23,10,23,2022,Current Employee ,Staff Software Engineer,5,5,5,4,4,4,Sky is limit if you are a game changer
"Oct 20, 2022",2022-10-20,10,20,2022,Current Employee ,Staff Software Engineer,4,3,4,4,4,4,"Good WLB, comp, benefits, scope but not remote friendly"
"Oct 17, 2022",2022-10-17,10,17,2022,Current Employee ,Principal Software Engineer,4,3,5,4,5,4,Great work life balance
"Oct 16, 2022",2022-10-16,10,16,2022,Current Employee ,Software Engineer,4,3,4,4,4,4,Avg tech company
"Oct 16, 2022",2022-10-16,10,16,2022,Former Employee ,Senior Software Engineer II,4,4,4,4,4,4,Great
"Oct 11, 2022",2022-10-11,10,11,2022,Current Employee ,HR Director,2,1,1,3,1,1,Work life balance is a joke
"Oct 5, 2022",2022-10-05,10,5,2022,Current Employee ,Senior Software Engineer,4,3,4,3,4,3,Great work life balance with reasonable pay
"Oct 4, 2022",2022-10-04,10,4,2022,Former Employee ,Product Manager,3,4,2,4,3,4,They’re alright
"Oct 4, 2022",2022-10-04,10,4,2022,Current Employee ,Software Applications Developer,3,2,4,2,4,2,Great work culture
"Oct 3, 2022",2022-10-03,10,3,2022,Current Employee ,Senior Engineer I,4,3,4,4,4,4,Frequent re-org
"Sep 29, 2022",2022-09-29,9,29,2022,Current Employee ,Software Engineer,4,3,3,3,5,3,Great benefits
"Sep 27, 2022",2022-09-27,9,27,2022,Current Employee ,Staff Engineer,4,4,4,4,3,1,All depends on team
"Sep 26, 2022",2022-09-26,9,26,2022,Current Employee ,Product Manager,3,2,5,3,5,4,Dont join early career
"Sep 25, 2022",2022-09-25,9,25,2022,Current Employee ,Group Program Manager,5,5,5,4,5,5,Continues to Get Better
"Sep 24, 2022",2022-09-24,9,24,2022,Current Employee ,Software Developer II,5,5,5,3,5,4,Great work life balance
"Sep 21, 2022",2022-09-21,9,21,2022,Current Employee ,Senior Software Engineer,4,5,3,4,5,2,"still good, getting bad"
"Sep 6, 2022",2022-09-06,9,6,2022,Current Employee ,Product Manager,4,4,5,4,5,4,Great learning ground for PMs especially
"Aug 30, 2022",2022-08-30,8,30,2022,Current Employee ,Data Analyst I,5,4,5,4,5,4,Great Work Life Balance
"Aug 29, 2022",2022-08-29,8,29,2022,Current Employee ,Staff Database Engineer,5,5,4,5,5,5,Great place to work
"Aug 27, 2022",2022-08-27,8,27,2022,Current Employee ,Product Engineering Supervisor,4,3,5,3,4,5,Good place for retirement
"Aug 25, 2022",2022-08-25,8,25,2022,Former Employee ,Software Engineer,4,3,5,4,4,4,great WLB
"Aug 24, 2022",2022-08-24,8,24,2022,Current Employee ,"Manager, Software Development",4,4,3,4,3,3,Good wlb
"Aug 21, 2022",2022-08-21,8,21,2022,Current Employee ,"Manager, Finance and Accounting",3,3,1,5,4,2,Good or bad depending on what you value
"Aug 20, 2022",2022-08-20,8,20,2022,Current Employee ,Software Developer,5,3,5,5,3,4,Work life balance and great benefits
"Aug 20, 2022",2022-08-20,8,20,2022,Current Employee ,Staff Software Engineer,5,5,5,5,5,5,Awesome
"Aug 19, 2022",2022-08-19,8,19,2022,Current Employee ,UX Research,4,3,5,4,5,3,Good place to work
"Aug 18, 2022",2022-08-18,8,18,2022,Current Employee ,Software Engineer II,5,5,5,4,5,4,Nice company
"Aug 17, 2022",2022-08-17,8,17,2022,Current Employee ,Staff Engineer,5,4,4,4,5,4,Good company - tech and wlb
"Aug 17, 2022",2022-08-17,8,17,2022,Current Employee ,"Manager, Software Development & Engineering",3,1,3,2,3,3,Company is fine
"Aug 16, 2022",2022-08-16,8,16,2022,Current Employee ,Software Engineer,3,2,5,2,3,1,Great work life balance
"Aug 14, 2022",2022-08-14,8,14,2022,Current Employee ,Software Engineer,5,5,5,5,5,5,"Great place to work, they take really good care of their employees"
"Aug 14, 2022",2022-08-14,8,14,2022,Current Employee ,Staff Software Developer,2,2,1,3,2,1,Poor work life balance
"Aug 12, 2022",2022-08-12,8,12,2022,Current Employee ,Software Engineer I,4,4,4,4,5,5,Wlb generally good but seems that oncall can be rough depending on the team. Comp is good but not too level
"Aug 12, 2022",2022-08-12,8,12,2022,Current Employee ,Software Engineer II,4,4,5,3,4,5,Great work life balance.
"Aug 10, 2022",2022-08-10,8,10,2022,Current Employee ,Data Analyst,3,1,5,2,2,2,"Work life balance is great. The longer you survive at Intuit, the lesser actual work you have to do."
"Aug 7, 2022",2022-08-07,8,7,2022,Current Employee ,Engineer,3,3,3,3,1,1,wlb is decent
"Aug 5, 2022",2022-08-05,8,5,2022,Current Employee ,Software Engineer,5,3,5,3,5,4,Great WLB
"Aug 5, 2022",2022-08-05,8,5,2022,Current Employee ,Software Engineer,5,5,5,4,5,5,"Good wlb, culture, decently interesting tech"
"Aug 3, 2022",2022-08-03,8,3,2022,Current Employee ,Software Engineer II,3,3,3,2,5,4,Great people and Culture
"Aug 3, 2022",2022-08-03,8,3,2022,Current Employee ,"Senior Software Engineer, Analytics",4,4,4,3,4,4,Great work life balance so far
"Aug 2, 2022",2022-08-02,8,2,2022,Current Employee ,Software Engineer,3,2,4,3,3,3,Bittersweet
"Aug 2, 2022",2022-08-02,8,2,2022,Current Employee ,Engineering Manager,4,5,5,3,4,3,"Overall it’s a good company, process heavy though esp in management"
"Aug 1, 2022",2022-08-01,8,1,2022,Current Employee ,Software Engineer I,5,5,5,5,5,5,Great experience
"Jul 30, 2022",2022-07-30,7,30,2022,Current Employee ,Software Engineer,4,4,3,3,4,4,Struggles and opportunity
"Jul 30, 2022",2022-07-30,7,30,2022,Current Employee ,Manager,3,2,4,5,3,2,It’s a good place for managers only
"Jul 29, 2022",2022-07-29,7,29,2022,Current Employee ,Software Engineer,5,5,5,5,4,4,Pretty good
"Jul 28, 2022",2022-07-28,7,28,2022,Current Employee ,Staff Engineer,1,1,1,2,1,1,Politics horrible work pressure
"Jul 26, 2022",2022-07-26,7,26,2022,Current Employee ,Marketing Specialist IV,5,5,5,5,5,5,Dream come true
"Jul 25, 2022",2022-07-25,7,25,2022,Current Employee ,Marketing Manager I,4,4,5,3,5,4,Solid work life balance but lower pay
"Jul 24, 2022",2022-07-24,7,24,2022,Current Employee ,Senior Data Analyst,4,4,4,4,4,4,Good work life balance
"Jul 23, 2022",2022-07-23,7,23,2022,Current Employee ,Senior Software Engineer,4,5,4,4,5,5,"Great company culture, but overall experience will be dependent on team and manager"
"Jul 22, 2022",2022-07-22,7,22,2022,Current Employee ,Program Manager,4,5,3,4,4,2,Many opportunities but some managerial challenges
"Jul 22, 2022",2022-07-22,7,22,2022,Current Employee ,Software Engineer II,5,4,5,3,5,2,Like it
"Jul 21, 2022",2022-07-21,7,21,2022,Current Employee ,Software Engineer I,4,3,5,3,3,4,Great work life balance
"Jul 21, 2022",2022-07-21,7,21,2022,Current Employee ,Software Developer I,5,4,5,5,5,4,Stands to the sayings
"Jul 21, 2022",2022-07-21,7,21,2022,Current Employee ,Product Manager,5,5,5,5,5,5,Awesome place to work
"Jul 21, 2022",2022-07-21,7,21,2022,Current Employee ,Staff Software Engineer,4,2,4,4,5,4,Great leaders and good culture
"Jul 20, 2022",2022-07-20,7,20,2022,Current Employee ,Finance Specialist,5,5,2,3,5,4,Good place
"Jul 20, 2022",2022-07-20,7,20,2022,Current Employee ,"Analyst, Tax",3,3,5,4,3,3,"Pretty good, but also pretty mediocre"
"Jul 20, 2022",2022-07-20,7,20,2022,Current Employee ,Technical Program Manager,4,3,5,4,4,5,"Great WLB, but limited growth"
"Jul 19, 2022",2022-07-19,7,19,2022,Current Employee ,Support Account Manager,5,5,5,5,5,5,Great work life balance
"Jul 18, 2022",2022-07-18,7,18,2022,Current Employee ,Program Manager,5,5,5,5,5,5,Love it
"Jul 17, 2022",2022-07-17,7,17,2022,Current Employee ,Senior Software Developer,4,3,4,3,4,3,Work life balance is great! Data engineering work in India is poor
"Jul 15, 2022",2022-07-15,7,15,2022,Current Employee ,"Senior Software Engineer, Development Lead",5,4,5,4,5,4,Great work life balance
"Jul 15, 2022",2022-07-15,7,15,2022,Current Employee ,Program Manager,5,5,5,5,5,5,Great place to work!
"Jul 15, 2022",2022-07-15,7,15,2022,Current Employee ,Front,4,4,5,3,4,4,"Culture is good, people are good. Work is also good."
"Jul 15, 2022",2022-07-15,7,15,2022,Current Employee ,Software Applications Engineer II,4,3,5,3,5,4,Good wlb
"Jul 11, 2022",2022-07-11,7,11,2022,Current Employee ,Software Engineer,4,5,5,3,4,4,Good WLB
"Jul 11, 2022",2022-07-11,7,11,2022,Current Employee ,Software Developer III,4,3,5,4,4,3,Great benefits but mediocre pay and growth
"Jul 10, 2022",2022-07-10,7,10,2022,Current Employee ,Software Engineer,4,3,5,3,3,3,Overall fine
"Jul 10, 2022",2022-07-10,7,10,2022,Current Employee ,Software Developer,4,4,5,4,5,5,"Great work life balance, great culture, decent pay"
"Jul 9, 2022",2022-07-09,7,9,2022,Current Employee ,Software Developer,4,3,4,3,4,4,Great culture
"Jul 8, 2022",2022-07-08,7,8,2022,Current Employee ,Operations Area Manager,4,4,4,5,4,3,Pretty good. Be wary of politics
"Jul 7, 2022",2022-07-07,7,7,2022,Current Employee ,Senior Software Engineer,4,4,5,4,5,3,"Good WLB, Tier 1 Perks"
"Jul 7, 2022",2022-07-07,7,7,2022,Current Employee ,Product Manager,4,5,4,5,5,5,Employee Friendly
"Jul 5, 2022",2022-07-05,7,5,2022,Current Employee ,Engineering Manager II,4,4,3,4,3,4,"Good team culture, not good WLB"
"Jul 3, 2022",2022-07-03,7,3,2022,Current Employee ,Finance,2,1,2,2,2,1,Work life balance depends on you team. Finance org culture has worsened over last 3 years due to one senior leader.
"Jul 2, 2022",2022-07-02,7,2,2022,Current Employee ,Analyst,3,3,4,3,1,1,Good work life balance
"Jun 30, 2022",2022-06-30,6,30,2022,Former Employee ,Principal Product Director,3,3,3,3,1,1,Great place for vapid careers
"Jun 30, 2022",2022-06-30,6,30,2022,Current Employee ,Software Engineer,4,3,5,4,4,3,Great wlb
"Jun 30, 2022",2022-06-30,6,30,2022,Current Employee ,Product Manager,4,3,3,3,4,4,Company takes good care of people
"Jun 30, 2022",2022-06-30,6,30,2022,Current Employee ,Product Manager,4,4,5,4,4,3,Great WLB
"Jun 30, 2022",2022-06-30,6,30,2022,Current Employee ,DevOps Engineer II,4,4,3,5,5,3,Good company for benefits
"Jun 29, 2022",2022-06-29,6,29,2022,Current Employee ,Product Manager,5,5,5,5,5,5,Love it
"Jun 28, 2022",2022-06-28,6,28,2022,Current Employee ,Senior Software Engineer,2,1,4,4,2,1,Good WLB (that too team dependent) - thats about it
"Jun 27, 2022",2022-06-27,6,27,2022,Current Employee ,Senior Marketing Manager,4,2,4,4,3,2,Great company to be a quiet lifer
"Jun 27, 2022",2022-06-27,6,27,2022,Current Employee ,"Data Scientist, Analytics",4,3,3,3,2,2,"WLB is good, compensation is ok"
"Jun 26, 2022",2022-06-26,6,26,2022,Current Employee ,Senior Software Engineer,4,4,5,3,4,3,Great place to start your career
"Jun 26, 2022",2022-06-26,6,26,2022,Current Employee ,Senior Software Engineer,4,4,5,5,3,2,Great company with age old technology
"Jun 25, 2022",2022-06-25,6,25,2022,Current Employee ,Engineer,2,2,5,2,4,1,Work life balance and culture is good but everything else really bad
"Jun 25, 2022",2022-06-25,6,25,2022,Current Employee ,Senior Software Engineer,4,3,4,4,5,4,"Good wlb, learning and growth limited"
"Jun 24, 2022",2022-06-24,6,24,2022,Current Employee ,Senior Technical Analyst,4,3,5,3,4,4,Great work life balance
"Jun 24, 2022",2022-06-24,6,24,2022,Current Employee ,Technical Advisor,4,4,4,4,3,3,Great flexibility
"Jun 24, 2022",2022-06-24,6,24,2022,Current Employee ,Software Engineer,4,3,5,4,3,3,Great work life balance
"Jun 24, 2022",2022-06-24,6,24,2022,Current Employee ,Software Engineer II,3,3,5,4,3,3,Great work life balance
"Jun 24, 2022",2022-06-24,6,24,2022,Current Employee ,Software Engineer,5,4,5,5,4,4,Great company to work.
"Jun 23, 2022",2022-06-23,6,23,2022,Current Employee ,Designer,3,3,4,3,4,2,Not much career growth
"Jun 23, 2022",2022-06-23,6,23,2022,Current Employee ,Marketing Manager,5,3,5,5,5,5,Intuit is great
"Jun 22, 2022",2022-06-22,6,22,2022,Current Employee ,Senior Software Engineer,4,3,4,4,4,3,Goood company to work with at senior level
"Jun 22, 2022",2022-06-22,6,22,2022,Current Employee ,Software Engineer III,4,3,5,5,3,3,Great work life balance but poor growth and management
"Jun 22, 2022",2022-06-22,6,22,2022,Current Employee ,Software Engineer II,5,4,5,3,5,4,Great work life balance
"Jun 20, 2022",2022-06-20,6,20,2022,Current Employee ,Senior Software Back End Engineer,4,4,5,4,5,5,Great WLB
"Jun 19, 2022",2022-06-19,6,19,2022,Current Employee ,Software Engineer II,5,3,5,3,5,5,Love working here! But vertical growth can be challenging
"Jun 17, 2022",2022-06-17,6,17,2022,Current Employee ,Product Manager,4,3,5,4,4,3,Good so far
"Jun 15, 2022",2022-06-15,6,15,2022,Current Employee ,Senior Software Engineer,5,5,5,5,4,4,"Good WLB, Friendly People, Great Benefits"
"Jun 14, 2022",2022-06-14,6,14,2022,Current Employee ,Senior Software Engineer,4,4,5,3,4,4,"Great work life balance, compensation could be better"
"Jun 11, 2022",2022-06-11,6,11,2022,Current Employee ,Staff Data Scientist,3,3,1,1,3,3,Average place to work
"Jun 11, 2022",2022-06-11,6,11,2022,Current Employee ,Software Engineer,4,3,5,3,5,2,"Good culture, hard to get promoted even though the next level pays nothing compared to other tech company."
"Jun 10, 2022",2022-06-10,6,10,2022,Current Employee ,Senior Business Leader,5,5,5,5,5,5,Great company
"Jun 9, 2022",2022-06-09,6,9,2022,Current Employee ,Software Engineer,3,3,2,3,1,1,Okay TC but a lot of politics
"Jun 9, 2022",2022-06-09,6,9,2022,Current Employee ,Staff Software Engineer,1,1,1,2,2,1,If you want to learn and improve you are in the wrong place
"Jun 8, 2022",2022-06-08,6,8,2022,Current Employee ,Senior Engineer,5,3,4,4,5,5,Great place to work
"Jun 7, 2022",2022-06-07,6,7,2022,Current Employee ,"Manager, Data Engineering",5,5,5,4,5,5,Great place to work
"Jun 6, 2022",2022-06-06,6,6,2022,Current Employee ,Software Development Engineer II,3,3,2,3,4,2,An average company
"Jun 6, 2022",2022-06-06,6,6,2022,Former Employee ,Software Engineer II,4,3,4,5,3,4,"Smart engineers, annoying PMs, no job mobility"
"Jun 6, 2022",2022-06-06,6,6,2022,Current Employee ,Software Engineer I,5,4,5,5,5,5,"Great work life balance, culture and compensation"
"Jun 5, 2022",2022-06-05,6,5,2022,Current Employee ,Product Manager,3,3,5,4,4,2,Don't consider long-term if you are focused on growth & development
"Jun 5, 2022",2022-06-05,6,5,2022,Current Employee ,Designer,4,5,4,4,4,3,Better than I’ve experienced elsewhere
"Jun 5, 2022",2022-06-05,6,5,2022,Current Employee ,Group Engineering Manager,5,5,4,5,5,5,Great employee focus and respect
"Jun 4, 2022",2022-06-04,6,4,2022,Current Employee ,Program Manager,5,2,3,4,4,4,Leadership is great
"Jun 3, 2022",2022-06-03,6,3,2022,Current Employee ,Product Manager,3,4,5,5,3,3,Job security but lacks excitement
"Jun 3, 2022",2022-06-03,6,3,2022,Current Employee ,Software Engineer,4,3,4,4,3,3,It’s average
"Jun 3, 2022",2022-06-03,6,3,2022,Current Employee ,Senior Software Developer,4,5,5,4,5,4,Stable with great work life balance
"Jun 2, 2022",2022-06-02,6,2,2022,Current Employee ,UI Designer II,4,4,5,3,4,3,Not great wlb
"Jun 1, 2022",2022-06-01,6,1,2022,Current Employee ,Program Manager,4,4,3,4,5,4,Great overall culture
"Jun 1, 2022",2022-06-01,6,1,2022,Former Employee ,Software Engineer,4,3,5,3,4,4,Slow paced with great WLB
"May 31, 2022",2022-05-31,5,31,2022,Current Employee ,Senior Technical Program Manager,4,3,4,4,5,4,Great work life balance
"May 31, 2022",2022-05-31,5,31,2022,Current Employee ,Produce Manager,5,5,4,5,5,5,"Strong growth, Lots of opportunities"
"May 28, 2022",2022-05-28,5,28,2022,Current Employee ,Software Engineer II,4,4,5,4,4,4,Great work life balance
"May 28, 2022",2022-05-28,5,28,2022,Current Employee ,Human Resources,5,5,1,5,3,4,It all depends on what you want…
